"Id","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
179,"RL",63,17423,"1","NoApp","IR1","Lvl","4","CulDSac","1","StoneBr","Norm","Norm","1Fam","1Story",9,5,2008,2009,"Hip","CompShg","VinylSd","VinylSd","Stone",748,"5","3","PConc","5","3","1","6",1904,"1",0,312,2216,"GasA","5","1","SBrkr",2234,0,0,2234,1,0,2,0,1,1,"5",9,"5",1,"4","Attchd",3,"3",3,1166,"3","3","3",0,60,0,0,0,0,"0","NoApp","NoApp",0,7,2009,"New","Partial",501837
180,"RM",60,8520,"1","NoApp","Reg","Lvl","4","Inside","1","OldTown","Norm","Norm","1Fam","1Story",5,6,1923,2006,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"4","3","CBlock","3","3","1","1",0,"1",0,968,968,"GasA","3","1","SBrkr",968,0,0,968,0,0,1,0,2,1,"3",5,"5",0,"0","Detchd",1,"1",2,480,"2","3","1",0,0,184,0,0,0,"0","NoApp","NoApp",0,7,2007,"WD","Normal",100000
181,"FV",69,2117,"1","NoApp","Reg","Lvl","4","Inside","1","Somerst","Norm","Norm","Twnhs","2Story",6,5,2000,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",456,"4","3","PConc","4","3","1","6",436,"1",0,320,756,"GasA","5","1","SBrkr",769,756,0,1525,0,0,2,1,3,1,"4",5,"5",1,"3","Detchd",3,"1",2,440,"3","3","3",0,0,0,0,0,0,"0","NoApp","NoApp",0,6,2007,"WD","Normal",177000
182,"RL",54,7588,"1","NoApp","Reg","Lvl","4","Inside","1","Crawfor","Norm","Norm","1Fam","2Story",7,6,1920,1950,"Gable","CompShg","Stucco","Stucco","None",0,"3","3","BrkTil","2","3","1","2",352,"1",0,441,793,"GasA","4","1","SBrkr",901,901,0,1802,0,0,1,1,4,1,"3",9,"5",1,"4","Detchd",1,"1",1,216,"2","3","3",0,0,40,0,0,0,"0","NoApp","NoApp",0,7,2006,"WD","Normal",200100
183,"RL",60,9060,"1","NoApp","Reg","Lvl","4","Inside","1","Edwards","Artery","Norm","1Fam","1Story",5,6,1957,2006,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",98,"3","3","PConc","0","0","0","0",0,"0",0,0,0,"GasA","5","1","SBrkr",1340,0,0,1340,0,0,1,0,3,1,"3",7,"5",1,"4","Attchd",2,"2",1,252,"3","3","3",116,0,0,180,0,0,"0","MnPrv","NoApp",0,6,2007,"WD","Normal",120000
184,"RM",63,11426,"1","NoApp","Reg","Lvl","4","Inside","1","OldTown","Norm","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","3","PConc","4","3","1","1",0,"1",0,1362,1362,"GasA","5","1","SBrkr",1362,720,0,2082,0,0,2,1,3,1,"4",6,"3",0,"0","Detchd",3,"1",2,484,"3","3","1",280,238,0,0,0,0,"0","NoApp","NoApp",0,6,2008,"WD","Normal",200000
185,"RL",92,7438,"1","NoApp","IR1","Lvl","4","Inside","1","BrkSide","RRAn","Feedr","1Fam","1.5Fin",5,8,1908,1991,"Gable","CompShg","AsbShng","Plywood","None",0,"3","3","PConc","2","3","1","1",0,"1",0,504,504,"GasA","4","1","SBrkr",936,316,0,1252,0,0,1,0,3,1,"3",5,"5",0,"0","Attchd",3,"1",2,576,"3","3","3",104,0,0,0,0,0,"0","MnPrv","NoApp",0,6,2006,"WD","Normal",127000
186,"RM",90,22950,"1","NoApp","IR2","Lvl","4","Inside","1","OldTown","Artery","Norm","1Fam","2.5Fin",10,9,1892,1993,"Gable","WdShngl","Wd Sdng","Wd Sdng","None",0,"4","4","BrkTil","3","3","2","1",0,"1",0,1107,1107,"GasA","5","1","SBrkr",1518,1518,572,3608,0,0,2,1,4,1,"5",12,"5",2,"3","Detchd",3,"1",3,840,"5","3","3",0,260,0,0,410,0,"0","GdPrv","NoApp",0,6,2006,"WD","Normal",475000
187,"RL",69,9947,"1","NoApp","IR1","Lvl","4","CulDSac","1","Mitchel","Norm","Norm","1Fam","SLvl",7,5,1990,1991,"Gable","CompShg","HdBoard","HdBoard","None",0,"3","3","PConc","4","3","3","6",611,"1",0,577,1188,"GasA","5","1","SBrkr",1217,0,0,1217,1,0,2,0,3,1,"4",6,"5",0,"0","Attchd",3,"1",2,497,"3","3","3",168,27,0,0,0,0,"0","GdPrv","NoApp",0,6,2009,"WD","Normal",173000
188,"RL",60,10410,"1","NoApp","Reg","Lvl","4","Inside","1","OldTown","Norm","Norm","1Fam","1.5Fin",5,7,1916,1987,"Gable","CompShg","HdBoard","HdBoard","None",0,"3","3","CBlock","2","3","1","1",0,"1",0,660,660,"GasA","5","1","SBrkr",808,704,144,1656,0,0,2,1,3,1,"3",8,"4",0,"0","Detchd",1,"1",1,180,"2","2","1",0,0,0,140,0,0,"0","MnPrv","NoApp",0,8,2009,"WD","Normal",135000
189,"RL",64,7018,"1","NoApp","Reg","Bnk","4","Inside","1","SawyerW","Feedr","Norm","Duplex","SFoyer",5,5,1979,1979,"Gable","CompShg","Plywood","Plywood","Stone",275,"3","3","CBlock","4","3","3","6",1086,"1",0,0,1086,"GasA","3","1","SBrkr",1224,0,0,1224,2,0,0,2,2,2,"3",6,"5",2,"3","Detchd",2,"1",2,528,"3","3","3",120,0,0,0,0,0,"0","NoApp","NoApp",0,6,2009,"WD","Alloca",153337
190,"RL",41,4923,"1","NoApp","Reg","Lvl","4","Inside","1","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,2001,2002,"Gable","CompShg","CemntBd","CmentBd","None",0,"4","3","PConc","5","3","3","6",1153,"1",0,440,1593,"GasA","5","1","SBrkr",1593,0,0,1593,1,0,1,1,0,1,"5",5,"5",1,"4","Attchd",3,"3",2,682,"3","3","3",0,120,0,0,224,0,"0","NoApp","NoApp",0,8,2008,"WD","Normal",286000
191,"RL",70,10570,"1","NoApp","Reg","Bnk","4","Inside","2","Crawfor","Norm","Norm","1Fam","2Story",8,8,1932,1994,"Hip","CompShg","BrkFace","BrkFace","None",0,"4","3","CBlock","4","4","1","3",297,"1",0,556,853,"GasA","3","1","SBrkr",1549,1178,0,2727,0,0,2,1,3,1,"4",10,"2",2,"3","Detchd",1,"1",2,440,"3","3","3",0,74,0,0,0,0,"0","NoApp","NoApp",0,12,2007,"WD","Normal",315000
192,"RL",69,7472,"1","NoApp","IR1","Lvl","4","CulDSac","1","NAmes","Norm","Norm","1Fam","2Story",7,9,1972,2004,"Gable","CompShg","HdBoard","HdBoard","BrkFace",138,"3","3","CBlock","3","3","1","5",626,"1",0,99,725,"GasA","4","1","SBrkr",725,754,0,1479,1,0,1,1,4,1,"4",7,"5",0,"0","Attchd",2,"3",2,484,"3","3","3",0,32,0,0,0,0,"0","NoApp","NoApp",0,6,2007,"WD","Normal",184000
193,"RL",68,9017,"1","NoApp","IR1","Lvl","4","Inside","1","CollgCr","Norm","Norm","1Fam","1Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"4","3","PConc","4","3","3","6",560,"1",0,871,1431,"GasA","5","1","SBrkr",1431,0,0,1431,1,0,2,0,3,1,"4",6,"5",0,"0","Attchd",3,"3",2,666,"3","3","3",0,35,0,0,0,0,"0","NoApp","NoApp",0,9,2009,"WD","Normal",192000
194,"RM",24,2522,"1","NoApp","Reg","Lvl","4","Inside","1","Edwards","Norm","Norm","Twnhs","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","Stone",50,"4","3","PConc","4","3","1","1",0,"1",0,970,970,"GasA","5","1","SBrkr",970,739,0,1709,0,0,2,0,3,1,"4",7,"2",0,"0","Detchd",3,"1",2,380,"3","3","3",0,40,0,0,0,0,"0","NoApp","NoApp",0,5,2006,"WD","Normal",130000
195,"RL",60,7180,"1","NoApp","IR1","Lvl","4","Inside","1","CollgCr","Norm","Norm","1Fam","1Story",5,7,1972,1972,"Hip","CompShg","HdBoard","HdBoard","None",0,"3","3","CBlock","3","3","3","5",390,"1",0,474,864,"GasA","3","1","SBrkr",864,0,0,864,0,0,1,0,3,1,"3",5,"5",0,"0","Detchd",3,"1",1,352,"3","3","3",0,0,0,0,0,0,"0","NoApp","NoApp",0,5,2008,"WD","Normal",127000
196,"RL",24,2280,"1","NoApp","Reg","Lvl","4","FR2","1","NPkVill","Norm","Norm","Twnhs","2Story",6,6,1976,1976,"Gable","CompShg","Plywood","Brk Cmn","None",0,"3","3","CBlock","4","3","1","5",566,"1",0,289,855,"GasA","3","1","SBrkr",855,601,0,1456,0,0,2,1,3,1,"3",7,"5",1,"3","Attchd",2,"1",2,440,"3","3","3",87,0,0,0,0,0,"0","NoApp","NoApp",0,7,2009,"WD","Normal",148500
197,"RL",79,9416,"1","NoApp","Reg","Lvl","4","Inside","1","Somerst","Norm","Norm","1Fam","1Story",7,5,2007,2007,"Hip","CompShg","CemntBd","CmentBd","Stone",205,"5","3","PConc","5","3","1","6",1126,"1",0,600,1726,"GasA","5","1","SBrkr",1726,0,0,1726,1,0,2,0,3,1,"5",8,"5",1,"4","Attchd",3,"3",3,786,"3","3","3",171,138,0,0,266,0,"0","NoApp","NoApp",0,9,2007,"New","Partial",311872
198,"RL",174,25419,"1","NoApp","Reg","Lvl","4","Corner","1","NAmes","Artery","Norm","1Fam","2Story",8,4,1918,1990,"Gable","CompShg","Stucco","Stucco","None",0,"4","4","PConc","3","3","1","6",1036,"2",184,140,1360,"GasA","4","1","SBrkr",1360,1360,392,3112,1,1,2,0,4,1,"4",8,"5",1,"5","Detchd",1,"1",2,795,"3","3","3",0,16,552,0,0,512,"5","GdPrv","NoApp",0,3,2006,"WD","Abnorml",235000
199,"RM",92,5520,"1","NoApp","Reg","Lvl","4","Corner","1","OldTown","Norm","Norm","1Fam","2.5Fin",6,6,1912,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"3","3","CBlock","3","3","1","1",0,"1",0,755,755,"GasA","5","1","SBrkr",929,929,371,2229,0,0,1,0,5,1,"3",8,"5",0,"0","NoApp",0,"0",0,0,"0","0","3",0,198,30,0,0,0,"0","MnPrv","NoApp",0,7,2009,"WD","Abnorml",104000
200,"RL",76,9591,"1","NoApp","Reg","Lvl","4","Inside","1","NridgHt","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Hip","CompShg","VinylSd","VinylSd","BrkFace",262,"4","3","PConc","5","3","3","6",1088,"1",0,625,1713,"GasA","5","1","SBrkr",1713,0,0,1713,1,0,2,0,3,1,"5",7,"5",1,"4","Attchd",3,"3",3,856,"3","3","3",0,26,0,0,170,0,"0","NoApp","NoApp",0,1,2009,"WD","Normal",274900
201,"RM",80,8546,"1","NoApp","Reg","Lvl","4","Corner","1","Edwards","Norm","Norm","1Fam","1Story",4,5,2003,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","3","PConc","4","3","1","1",0,"1",0,1121,1121,"GasA","5","1","SBrkr",1121,0,0,1121,0,0,2,0,2,1,"3",5,"5",0,"0","Attchd",3,"2",2,440,"3","3","3",132,64,0,0,0,0,"0","NoApp","NoApp",0,3,2010,"WD","Normal",140000
202,"RL",75,10125,"1","NoApp","Reg","Lvl","4","Inside","1","Mitchel","Norm","Norm","1Fam","1Story",6,6,1977,1977,"Gable","CompShg","Plywood","Plywood","None",0,"3","3","CBlock","3","3","1","5",641,"2",279,276,1196,"GasA","3","1","SBrkr",1279,0,0,1279,0,1,2,0,3,1,"3",6,"5",2,"2","Detchd",2,"1",2,473,"3","3","3",238,83,0,0,0,0,"0","MnPrv","NoApp",0,2,2008,"WD","Normal",171500
203,"RL",50,7000,"1","NoApp","Reg","Lvl","4","Corner","1","OldTown","Artery","Norm","1Fam","1.5Fin",6,6,1924,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"3","4","BrkTil","2","3","1","2",617,"1",0,0,617,"GasA","4","1","SBrkr",865,445,0,1310,0,0,2,0,2,1,"3",6,"4",0,"0","Attchd",1,"1",1,398,"3","3","3",0,0,126,0,0,0,"0","NoApp","NoApp",0,5,2006,"COD","Normal",112000
204,"RM",69,4438,"1","NoApp","Reg","Lvl","4","Inside","1","CollgCr","Norm","Norm","TwnhsE","1Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",205,"4","3","PConc","4","3","3","6",662,"1",0,186,848,"GasA","5","1","SBrkr",848,0,0,848,1,0,1,0,1,1,"4",3,"5",1,"4","Attchd",3,"2",2,420,"3","3","3",149,0,0,0,0,0,"0","NoApp","NoApp",0,1,2008,"WD","Normal",149000
205,"RM",50,3500,"1","Grvl","Reg","Lvl","4","Inside","1","OldTown","Norm","Norm","1Fam","1.5Fin",5,7,1947,1950,"Gable","CompShg","AsbShng","AsbShng","None",0,"3","3","CBlock","3","3","1","2",312,"1",0,408,720,"GasA","3","1","SBrkr",720,564,0,1284,0,0,1,1,2,1,"3",5,"5",0,"0","Detchd",2,"1",1,240,"3","3","3",0,35,0,0,0,0,"0","MnWw","NoApp",0,4,2009,"WD","Normal",110000
206,"RL",99,11851,"1","NoApp","Reg","Lvl","4","Corner","1","Gilbert","Norm","Norm","1Fam","1Story",7,5,1990,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,"3","3","PConc","4","3","1","1",0,"1",0,1424,1424,"GasA","5","1","SBrkr",1442,0,0,1442,0,0,2,0,3,1,"3",5,"5",0,"0","Attchd",3,"2",2,500,"3","3","3",0,34,0,508,0,0,"0","NoApp","NoApp",0,5,2009,"WD","Normal",180500
207,"RL",40,13673,"1","NoApp","IR1","Lvl","4","CulDSac","1","Sawyer","RRAe","Norm","1Fam","1Story",5,5,1962,1962,"Gable","CompShg","HdBoard","HdBoard","None",0,"3","4","CBlock","3","3","1","1",0,"1",0,1140,1140,"GasA","3","1","SBrkr",1696,0,0,1696,0,0,1,1,3,1,"3",8,"4",1,"3","Attchd",2,"2",1,349,"3","3","3",0,30,0,0,0,0,"0","NoApp","NoApp",0,3,2007,"WD","Normal",143900
208,"RL",69,12493,"1","NoApp","IR1","Lvl","4","Inside","1","NAmes","Norm","Norm","1Fam","1Story",4,5,1960,1960,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"3","3","PConc","3","3","1","5",419,"3",306,375,1100,"GasA","3","1","SBrkr",1100,0,0,1100,1,0,1,0,3,1,"3",6,"5",1,"1","Attchd",2,"2",1,312,"3","3","3",355,0,0,0,0,0,"0","GdWo","NoApp",0,4,2008,"WD","Normal",141000
209,"RL",69,14364,"1","NoApp","IR1","Low","4","Inside","2","SawyerW","Norm","Norm","1Fam","2Story",7,5,1988,1989,"Gable","CompShg","Plywood","Plywood","BrkFace",128,"4","3","CBlock","4","3","4","6",1065,"1",0,92,1157,"GasA","5","1","SBrkr",1180,882,0,2062,1,0,2,1,3,1,"3",7,"5",1,"4","Attchd",3,"3",2,454,"3","3","3",60,55,0,0,154,0,"0","NoApp","NoApp",0,4,2007,"WD","Normal",277000
210,"RL",75,8250,"1","NoApp","Reg","Lvl","4","Inside","1","NAmes","Norm","Norm","1Fam","1Story",6,7,1964,1964,"Hip","CompShg","HdBoard","HdBoard","Stone",260,"3","3","CBlock","4","3","1","3",787,"1",0,305,1092,"GasA","5","1","SBrkr",1092,0,0,1092,1,0,1,0,3,1,"3",6,"5",0,"0","Attchd",2,"2",2,504,"3","4","3",0,0,0,0,0,0,"0","MnPrv","NoApp",0,7,2008,"WD","Normal",145000
211,"RL",67,5604,"1","NoApp","Reg","Lvl","4","Inside","1","Edwards","Norm","Norm","1Fam","1Story",5,6,1925,1950,"Gable","CompShg","Stucco","Stucco","None",0,"3","3","CBlock","3","3","1","3",468,"1",0,396,864,"GasA","3","0","FuseA",864,0,0,864,1,0,1,0,2,1,"3",5,"5",0,"0","NoApp",0,"0",0,0,"0","0","3",0,0,96,0,0,0,"0","NoApp","NoApp",0,4,2008,"WD","Normal",98000
212,"RL",83,10420,"1","NoApp","Reg","Lvl","4","Corner","1","Edwards","Norm","Norm","1Fam","1Story",6,5,2009,2009,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","3","PConc","4","3","2","6",36,"1",0,1176,1212,"GasA","5","1","SBrkr",1212,0,0,1212,0,0,2,0,3,1,"4",6,"5",0,"0","Attchd",3,"2",2,460,"3","3","3",100,22,0,0,0,0,"0","NoApp","NoApp",0,3,2010,"WD","Normal",186000
213,"FV",72,8640,"1","NoApp","Reg","Lvl","4","Inside","1","Somerst","Norm","Norm","1Fam","2Story",7,5,2009,2009,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","3","PConc","4","3","1","6",822,"1",0,78,900,"GasA","5","1","SBrkr",932,920,0,1852,1,0,2,1,3,1,"4",7,"5",1,"3","Attchd",3,"2",2,644,"3","3","3",168,108,0,0,0,0,"0","NoApp","NoApp",0,7,2009,"New","Partial",252678
214,"RL",43,13568,"1","NoApp","IR2","Lvl","4","CulDSac","1","CollgCr","Norm","Norm","1Fam","1Story",5,5,1995,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","3","PConc","4","3","1","5",716,"1",0,274,990,"GasA","5","1","SBrkr",990,0,0,990,0,1,1,0,3,1,"3",5,"5",0,"0","Attchd",3,"1",2,576,"3","3","3",224,0,0,0,0,0,"0","NoApp","NoApp",0,7,2006,"WD","Normal",156000
215,"RL",69,10900,"1","NoApp","IR1","Lvl","4","FR2","1","CollgCr","Norm","Norm","1Fam","2Story",6,7,1977,1977,"Gable","CompShg","HdBoard","HdBoard","BrkFace",153,"3","3","CBlock","4","3","1","6",378,"1",0,311,689,"GasA","5","1","SBrkr",689,703,0,1392,0,0,1,1,3,1,"3",6,"5",0,"0","Attchd",2,"3",1,299,"3","3","3",0,36,0,0,0,0,"0","MnPrv","Shed",450,3,2010,"WD","Normal",161750
216,"RL",72,10011,"1","NoApp","IR1","Lvl","4","Inside","1","NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1996,"Gable","CompShg","HdBoard","HdBoard","BrkFace",64,"3","3","CBlock","3","3","1","4",360,"1",0,710,1070,"GasA","3","1","SBrkr",1236,0,0,1236,0,1,1,0,2,1,"4",6,"4",1,"2","Attchd",2,"1",1,447,"3","3","3",0,0,0,0,0,0,"0","MnPrv","NoApp",0,5,2006,"WD","Normal",134450
217,"RL",65,8450,"1","NoApp","Reg","Lvl","4","Inside","1","CollgCr","Norm","Norm","1Fam","1Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",266,"4","3","PConc","4","3","2","6",946,"1",0,490,1436,"GasA","5","1","SBrkr",1436,0,0,1436,1,0,2,0,3,1,"4",8,"5",0,"0","Attchd",3,"1",2,484,"3","3","3",139,98,0,0,0,0,"0","NoApp","NoApp",0,4,2008,"WD","Normal",210000
218,"RM",57,9906,"1","Grvl","Reg","Lvl","4","Inside","1","OldTown","Norm","Norm","1Fam","2Story",4,4,1925,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"3","3","CBlock","3","3","1","1",0,"1",0,686,686,"GasA","2","0","SBrkr",810,518,0,1328,0,0,1,0,3,1,"3",8,"5",0,"0","Detchd",1,"1",1,210,"3","3","3",0,172,60,0,0,0,"0","NoApp","NoApp",0,9,2006,"WD","Family",107000
219,"RL",69,15660,"1","NoApp","IR1","Lvl","4","Corner","1","Crawfor","Norm","Norm","1Fam","1.5Fin",7,9,1939,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",312,"4","4","CBlock","3","3","1","4",341,"1",0,457,798,"GasA","5","1","SBrkr",1137,817,0,1954,0,1,1,1,3,1,"4",8,"5",2,"3","Attchd",1,"1",2,431,"3","3","3",0,119,150,0,0,0,"0","NoApp","NoApp",0,5,2008,"WD","Normal",311500
220,"RL",43,3010,"1","NoApp","Reg","Lvl","4","Inside","1","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,"4","3","PConc","4","3","3","6",16,"1",0,1232,1248,"GasA","5","1","SBrkr",1248,0,0,1248,0,0,2,0,2,1,"4",5,"5",0,"0","Attchd",3,"3",2,438,"3","3","3",108,0,0,0,0,0,"0","NoApp","NoApp",0,3,2006,"New","Partial",167240
221,"RL",73,8990,"1","NoApp","IR1","Lvl","4","Inside","1","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"4","3","PConc","4","3","2","1",0,"1",0,1498,1498,"GasA","5","1","SBrkr",1498,0,0,1498,0,0,2,0,2,1,"4",5,"5",0,"0","Attchd",3,"2",2,675,"3","3","3",351,33,0,0,0,0,"0","NoApp","NoApp",0,4,2006,"New","Partial",204900
222,"RL",69,8068,"1","NoApp","IR1","Lvl","4","Inside","1","Gilbert","Norm","Norm","1Fam","2Story",6,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"4","3","PConc","4","3","1","1",0,"1",0,1010,1010,"GasA","5","1","SBrkr",1010,1257,0,2267,0,0,2,1,4,1,"4",8,"5",1,"3","BuiltIn",3,"2",2,390,"3","3","3",120,46,0,0,0,0,"0","NoApp","NoApp",0,12,2009,"ConLI","Normal",200000
223,"RL",85,11475,"1","NoApp","Reg","Lvl","4","Inside","1","NWAmes","RRAn","Norm","1Fam","2Story",6,6,1975,1975,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","3","CBlock","4","3","1","5",550,"1",0,163,713,"GasA","3","1","SBrkr",811,741,0,1552,1,0,2,1,3,1,"3",6,"5",1,"3","Attchd",2,"2",2,434,"3","3","3",209,208,0,0,0,0,"0","MnPrv","NoApp",0,2,2006,"WD","Normal",179900
224,"RL",70,10500,"1","NoApp","Reg","Lvl","4","FR2","1","NAmes","Norm","Norm","1Fam","1Story",4,6,1971,1971,"Gable","CompShg","HdBoard","HdBoard","None",0,"3","3","CBlock","3","3","1","5",524,"2",180,160,864,"GasA","4","1","SBrkr",864,0,0,864,0,0,1,0,2,1,"3",4,"5",0,"0","Detchd",3,"1",2,576,"3","3","3",216,0,0,0,0,0,"0","NoApp","NoApp",0,3,2009,"WD","Abnorml",97000
225,"RL",103,13472,"1","NoApp","Reg","Lvl","4","Inside","1","NridgHt","Norm","Norm","1Fam","1Story",10,5,2003,2003,"Hip","CompShg","VinylSd","VinylSd","BrkFace",922,"5","3","PConc","5","3","4","6",56,"1",0,2336,2392,"GasA","5","1","SBrkr",2392,0,0,2392,0,0,2,0,3,1,"5",8,"5",1,"5","Attchd",3,"3",3,968,"3","3","3",248,105,0,0,0,0,"0","NoApp","NoApp",0,6,2009,"WD","Normal",386250
226,"RM",21,1680,"1","NoApp","Reg","Lvl","4","Inside","1","BrDale","Norm","Norm","Twnhs","2Story",5,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",142,"3","3","CBlock","3","3","1","1",0,"1",0,630,630,"GasA","3","1","SBrkr",630,672,0,1302,0,0,2,1,3,1,"3",6,"5",0,"0","Detchd",3,"1",1,280,"3","3","3",0,0,0,0,0,0,"0","NoApp","NoApp",0,5,2009,"COD","Abnorml",112000
227,"RL",82,9950,"1","NoApp","IR1","Lvl","4","Inside","1","NoRidge","Norm","Norm","1Fam","2Story",7,5,1995,1995,"Gable","CompShg","VinylSd","VinylSd","BrkFace",290,"4","3","PConc","4","3","1","6",565,"1",0,638,1203,"GasA","5","1","SBrkr",1214,1306,0,2520,0,0,2,1,4,1,"4",9,"5",1,"3","Attchd",3,"2",3,721,"3","3","3",224,114,0,0,0,0,"0","NoApp","NoApp",0,6,2007,"WD","Abnorml",290000
228,"RM",21,1869,"1","NoApp","Reg","Lvl","4","Inside","1","BrDale","Norm","Norm","Twnhs","2Story",6,6,1970,1970,"Gable","CompShg","HdBoard","HdBoard","BrkFace",127,"3","3","CBlock","3","3","1","3",321,"1",0,162,483,"GasA","3","1","SBrkr",483,504,0,987,0,0,1,1,2,1,"3",5,"5",0,"0","Detchd",3,"1",1,280,"3","3","3",0,0,0,0,0,0,"0","NoApp","NoApp",0,9,2008,"WD","Normal",106000
229,"RL",70,8521,"1","NoApp","Reg","Lvl","4","FR2","1","Sawyer","Feedr","Norm","1Fam","1Story",5,5,1967,1967,"Gable","CompShg","HdBoard","HdBoard","None",0,"3","3","CBlock","3","3","1","5",842,"1",0,70,912,"GasA","3","1","SBrkr",912,0,0,912,0,0,1,0,3,1,"3",5,"5",1,"2","Detchd",2,"1",1,336,"3","3","3",0,0,0,0,0,0,"0","MnPrv","NoApp",0,5,2010,"WD","Normal",125000
230,"RL",43,3182,"1","NoApp","Reg","Lvl","4","Inside","1","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,"4","3","PConc","4","3","3","6",16,"1",0,1357,1373,"GasA","5","1","SBrkr",1555,0,0,1555,0,0,2,0,2,1,"4",7,"5",1,"3","Attchd",3,"3",2,430,"3","3","3",143,20,0,0,0,0,"0","NoApp","NoApp",0,5,2009,"WD","Normal",192500
231,"RL",73,8760,"1","NoApp","Reg","Lvl","4","Inside","1","NAmes","Norm","Norm","1Fam","1Story",6,6,1959,1959,"Hip","CompShg","MetalSd","MetalSd","BrkFace",220,"3","3","CBlock","3","3","1","1",0,"1",0,1194,1194,"GasA","3","1","SBrkr",1194,0,0,1194,1,0,1,0,3,1,"3",6,"5",0,"0","Attchd",2,"2",1,312,"3","3","3",0,0,120,0,0,0,"0","NoApp","NoApp",0,4,2010,"WD","Normal",148000
232,"RL",174,15138,"1","NoApp","IR1","Lvl","4","Inside","1","NoRidge","Norm","Norm","1Fam","2Story",8,5,1995,1996,"Gable","CompShg","VinylSd","VinylSd","BrkFace",506,"4","3","PConc","4","3","1","6",689,"1",0,773,1462,"GasA","5","1","SBrkr",1490,1304,0,2794,1,0,2,1,4,1,"5",9,"5",1,"3","Attchd",3,"3",3,810,"3","3","3",0,146,202,0,0,0,"0","NoApp","NoApp",0,7,2009,"WD","Normal",403000
233,"RM",21,1680,"1","NoApp","Reg","Lvl","4","Inside","1","BrDale","Norm","Norm","Twnhs","2Story",6,5,1972,1972,"Gable","CompShg","HdBoard","HdBoard","BrkFace",297,"3","3","CBlock","3","3","1","1",0,"1",0,483,483,"GasA","3","1","SBrkr",483,504,0,987,0,0,1,1,2,1,"3",5,"5",1,"1","Attchd",2,"1",1,288,"3","3","3",0,0,0,0,0,0,"0","NoApp","NoApp",0,6,2006,"WD","Normal",94500
